"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","71","should only display macro choices when user is admin and nothing is on url","OfferTypeIndividual","Thu Jan 16 17:02:34 UTC 2025","passed","Thu Jan 16 17:02:34 UTC 2025","","","",""
"","50","should display the right wording without the OA FF","VenueSettingsScreen","Thu Jan 16 16:59:35 UTC 2025","passed","Thu Jan 16 16:59:35 UTC 2025","","OA feature flag","",""
"","42","should show the count of characters typed","FieldLayoutCharacterCount","Thu Jan 16 17:02:52 UTC 2025","passed","Thu Jan 16 17:02:52 UTC 2025","","","",""
"","151","should reset filters when clicking on ""Afficher toutes les réservations""","components | BookingsRecapTable","Thu Jan 16 16:58:55 UTC 2025","passed","Thu Jan 16 16:58:56 UTC 2025","","","",""
"","103","should remove social url input on click remove url button","screens:SignupJourney::ActivityForm","Thu Jan 16 16:59:43 UTC 2025","passed","Thu Jan 16 16:59:44 UTC 2025","","","",""
"","9","should not display the students levels section if the offer has no students levels","AdageOfferPublicSection","Thu Jan 16 17:01:52 UTC 2025","passed","Thu Jan 16 17:01:52 UTC 2025","","","",""
"","8","should not render error and warning messages when all venues are linked","ReimbursementBankAccount","Thu Jan 16 16:59:06 UTC 2025","passed","Thu Jan 16 16:59:06 UTC 2025","","","",""
"","71","should display venue name in tag","FiltersTag","Thu Jan 16 16:59:55 UTC 2025","passed","Thu Jan 16 16:59:56 UTC 2025","","","",""
"","2","should display label for variant: green","Tag","Thu Jan 16 17:03:31 UTC 2025","passed","Thu Jan 16 17:03:31 UTC 2025","","render","",""
"","3","should return a valid initial form object","setInitialFormValues","Thu Jan 16 17:01:41 UTC 2025","passed","Thu Jan 16 17:01:41 UTC 2025","","","",""
"","63","should make two calls if the ids come from template offer and bookable offer","ActionsBar","Thu Jan 16 16:58:26 UTC 2025","passed","Thu Jan 16 16:58:26 UTC 2025","","","",""
"","13","should not display publication date in creation","IndivualOfferLayout","Thu Jan 16 17:00:21 UTC 2025","passed","Thu Jan 16 17:00:21 UTC 2025","","","",""
"","104","should display redirect modal if first non free offer","Summary","Thu Jan 16 16:58:13 UTC 2025","passed","Thu Jan 16 16:58:13 UTC 2025","","On Creation","",""
"","148","should render form without errors","CollectiveDataEdition","Thu Jan 16 16:58:38 UTC 2025","passed","Thu Jan 16 16:58:38 UTC 2025","","render","",""
"","121","should display a select input with the individual options","components | FilterByOmniSearch","Thu Jan 16 17:00:09 UTC 2025","passed","Thu Jan 16 17:00:09 UTC 2025","","","",""
"","1","should return 0 if lastname and firstname are the same even with different case","sortByBeneficiaryName","Thu Jan 16 17:00:19 UTC 2025","passed","Thu Jan 16 17:00:19 UTC 2025","","when both beneficiaries lastname are the same","",""
"","13","should display creation date info","VenueProviderCard","Thu Jan 16 17:00:26 UTC 2025","passed","Thu Jan 16 17:00:26 UTC 2025","","public API provider","",""
"","127","should log next action","screens:SignupJourney::ActionBar","Thu Jan 16 17:01:25 UTC 2025","passed","Thu Jan 16 17:01:26 UTC 2025","","","",""
"","102","should display a set of year filters with the last year selected by default","Income","Thu Jan 16 16:58:44 UTC 2025","passed","Thu Jan 16 16:58:44 UTC 2025","","when the page first renders","",""
"","74","should hide status filters when clicking outside the modal","IndividualOffersScreen","Thu Jan 16 16:58:22 UTC 2025","passed","Thu Jan 16 16:58:22 UTC 2025","","","",""
"","1","should return all venues when categoryStatus is ONLINE or OFFLINE","getFilteredVenueList","Thu Jan 16 17:01:15 UTC 2025","passed","Thu Jan 16 17:01:15 UTC 2025","","getFilteredVenueListBySubcategory","",""
"","46","should display radius range input in localisation filter modal","OfferFilters","Thu Jan 16 16:59:29 UTC 2025","passed","Thu Jan 16 16:59:29 UTC 2025","","","",""
"","1","should return ONLINE categories and subCategories for CATEGORY_STATUS.ONLINE","filterCategories","Thu Jan 16 17:00:10 UTC 2025","passed","Thu Jan 16 17:00:10 UTC 2025","","","",""
"","0","should return ISO string date without milliseconds","toISOStringWithoutMilliseconds","Thu Jan 16 17:00:38 UTC 2025","passed","Thu Jan 16 17:00:38 UTC 2025","","","",""
"","0","should disabled field synchronized offer","StockThingForm::utils::setFormReadOnlyFields","Thu Jan 16 17:02:09 UTC 2025","passed","Thu Jan 16 17:02:09 UTC 2025","","","",""
"","195","should call on onBeginningDateChange and onEndingDateChange","PeriodSelector","Thu Jan 16 17:03:15 UTC 2025","passed","Thu Jan 16 17:03:15 UTC 2025","","","",""
"","15","should display the right wording with the OA FF","OA feature flag","Thu Jan 16 17:00:42 UTC 2025","passed","Thu Jan 16 17:00:42 UTC 2025","","","",""
"","230","should display a trash icon with a confirm dialog to delete draft offer","IndividualOfferRow","Thu Jan 16 16:59:09 UTC 2025","passed","Thu Jan 16 16:59:09 UTC 2025","draft delete button","action buttons","",""
